type,state,timeStamp,Ax,Ay,Az,Gx,Gy,Gz
tail,0,1592196626979,-14200,-1020,6592,-1600,-26890,-9721
tail,0,1592196627041,16556,9392,14944,-1600,-5973,-2028
tail,0,1592196627079,32767,7804,12816,-1616,3123,-14162
tail,0,1592196627128,-32768,-17716,14348,-1616,32456,32767
tail,0,1592196627178,-25980,160,8776,-1616,-14893,-2340
tail,0,1592196627227,12,-5880,10396,-1664,-22979,-15182
tail,0,1592196627280,23896,12124,14496,-1632,-1879,-2980
tail,0,1592196627326,17728,-9912,14316,-1600,9148,-3428
tail,0,1592196627377,-32768,5320,-13248,-1648,3061,-611
tail,0,1592196627427,-24172,-2592,6844,-1616,-32768,-8245
tail,0,1592196627476,8848,8548,14288,-1632,-8656,1837
tail,0,1592196627527,26716,10516,15512,-1616,1737,-10573
tail,0,1592196627577,-19140,-25056,19828,-1616,23311,26369
tail,0,1592196627627,-32768,2384,4280,-1600,-32748,-7760
tail,0,1592196627677,12172,-1100,14812,-1632,-10524,-4627
tail,0,1592196627729,31804,10372,14916,-1600,1243,-18037
tail,0,1592196627779,-32768,-5624,10908,-1616,22682,31775
tail,0,1592196627844,-22204,1228,8868,-1584,-10328,-768
tail,0,1592196627879,2552,4656,10944,-1600,-12792,-12285
tail,0,1592196627937,16408,12572,13400,-1616,4997,-9770
tail,0,1592196627977,-32768,980,8948,-1600,10848,15405
tail,0,1592196628027,-14824,5240,9840,-1600,-7462,-1077
tail,0,1592196628078,-2384,9176,10152,-1584,-6090,-3962
tail,0,1592196628128,-1932,10676,12040,-1584,2796,-988
tail,0,1592196628177,-14740,8728,9584,-1632,292,2615
tail,0,1592196628227,-8568,9360,10000,-1584,-1117,728
tail,0,1592196628277,-5724,10132,10320,-1616,-467,-1133
tail,0,1592196628326,-7744,9788,10244,-1616,-643,-103
tail,0,1592196628378,-7980,9628,10340,-1584,-1155,47
tail,0,1592196628426,-7400,9664,10924,-1600,-685,-664
tail,0,1592196628478,-7008,10004,10504,-1632,-353,-1106
tail,0,1592196628527,-4724,8720,11816,-1616,2581,-1590
tail,0,1592196628578,-15072,9188,9008,-1584,21,4453
tail,0,1592196628626,-7732,8468,9420,-1584,-7155,-1672
tail,0,1592196628676,5780,9840,13384,-1600,4793,189
tail,0,1592196628727,-23228,6256,5464,-1632,1882,3758
tail,0,1592196628777,-14092,8184,8940,-1600,-6901,1203
tail,0,1592196628829,9080,10424,12568,-1632,-1109,-7223
tail,0,1592196628880,-11072,8460,11044,-1616,5139,3624
tail,0,1592196628926,-11624,7572,9288,-1616,-2324,2786
tail,0,1592196628978,-7944,9112,10500,-1600,-3018,-1099
tail,0,1592196629027,-1648,11140,11332,-1600,1059,-898
tail,0,1592196629079,-8372,9512,10004,-1648,577,-409
tail,0,1592196629127,-10448,7312,11140,-1616,6925,206
tail,0,1592196629177,-16504,7172,8668,-1600,-3510,3228
tail,0,1592196629228,-6012,6904,10200,-1584,-8642,-1343
tail,0,1592196629276,-2684,10612,11752,-1616,-1523,-23
tail,0,1592196629332,-2388,9776,12332,-1600,6174,-980
tail,0,1592196629377,-17804,7808,7784,-1632,-712,2396
tail,0,1592196629429,-8856,9656,10572,-1616,-1857,-26
tail,0,1592196629477,-8544,9032,11096,-1584,-2767,1137
tail,0,1592196629536,-5260,10688,10704,-1616,-1537,-206
tail,0,1592196629577,-8644,9456,10140,-1600,-319,-486
tail,0,1592196629629,-6964,10068,10760,-1600,-1100,340
tail,0,1592196629676,-7276,10108,10264,-1584,-853,400
tail,0,1592196629731,-5504,10532,11076,-1616,21,-2071
tail,0,1592196629777,-3328,8344,12828,-1600,7679,-5409
tail,0,1592196629827,-20060,6240,6756,-1616,-609,5127
tail,0,1592196629878,-9804,7464,10084,-1632,-4543,755
tail,0,1592196629947,-6216,9316,10716,-1568,-2738,-141
tail,0,1592196629977,-7028,9520,10924,-1568,-317,775
tail,0,1592196630032,-11108,8104,10500,-1616,-412,317
tail,0,1592196630076,-7984,9476,10136,-1600,-459,-51
tail,0,1592196630126,-7604,9732,10216,-1632,-666,735
tail,0,1592196630179,-9740,9184,10192,-1600,-1573,1228
tail,0,1592196630226,-7160,9580,10560,-1616,-3488,524
tail,0,1592196630279,-7576,10256,10600,-1600,-3695,843
tail,0,1592196630326,-4808,10092,10672,-1568,-4623,163
tail,0,1592196630381,-1956,11148,12036,-1616,-1528,-1191
tail,0,1592196630427,-3724,11044,11348,-1616,134,-525
tail,0,1592196630476,11128,9756,13076,-1584,5194,-9835
tail,0,1592196630531,-22544,-3444,12836,-1632,19674,16299
tail,0,1592196630577,-16136,5848,7708,-1600,-7278,-5005
tail,0,1592196630627,-16804,6248,6680,-1600,-16069,-2408
tail,0,1592196630677,-680,9412,13232,-1616,-7682,-105
tail,0,1592196630730,12780,13224,12772,-1616,48,-12716
tail,0,1592196630778,-19904,-6996,12680,-1632,20405,16119
tail,0,1592196630827,-19408,3424,7580,-1600,-15152,-10062
tail,0,1592196630877,-6272,7948,10396,-1600,-7436,-120
tail,0,1592196630927,4300,12240,13340,-1584,2260,251
tail,0,1592196630980,-7700,3052,13392,-1616,12013,9265
tail,0,1592196631030,-27960,2156,4144,-1600,-9497,29
tail,0,1592196631077,-8072,4356,10352,-1616,-16403,-4738
tail,0,1592196631128,17048,12348,13944,-1632,899,-4003
tail,0,1592196631177,-14968,760,13240,-1600,15261,11749
tail,0,1592196631230,-24624,2700,5680,-1600,-7586,-1328
tail,0,1592196631278,-5668,4660,9720,-1584,-15636,-7412
tail,0,1592196631326,16496,13220,15032,-1616,677,-9416
tail,0,1592196631378,-18376,-5608,13388,-1600,20716,18107
tail,0,1592196631427,-22512,-488,7368,-1600,-11880,-8050
tail,0,1592196631478,-7420,5588,9476,-1568,-10454,-3588
tail,0,1592196631527,-1456,9836,12732,-1616,-2221,-1570
tail,0,1592196631581,-8172,9072,11072,-1584,25,955
tail,0,1592196631626,-9856,8076,10012,-1616,215,-395
tail,0,1592196631682,-9260,8536,10500,-1584,-145,-894
tail,0,1592196631726,-8756,8544,11020,-1600,-619,426
tail,0,1592196631776,-8492,8584,10772,-1616,-213,-32
tail,0,1592196631827,-5236,8776,11120,-1616,646,-3290
tail,0,1592196631877,-12148,6472,10644,-1600,6390,2578
tail,0,1592196631927,-12376,6624,9604,-1600,-1059,-729
tail,0,1592196631979,-10680,7172,10000,-1616,-1816,903
tail,0,1592196632027,-7984,7904,10976,-1616,-1054,-162
tail,0,1592196632078,-10748,7124,10384,-1584,-362,120
tail,0,1592196632127,-9544,7816,10320,-1600,-275,-44
tail,0,1592196632178,-1020,6120,13060,-1584,7898,-1391
tail,0,1592196632227,-21908,3484,6424,-1616,-1773,2528
tail,0,1592196632278,-11568,6268,9636,-1600,-3136,1935
tail,0,1592196632327,-6548,7812,11088,-1584,-3436,-2396
tail,0,1592196632378,-8884,4292,12644,-1616,10442,2774
tail,0,1592196632427,-17140,4176,8624,-1600,-2551,1096
tail,0,1592196632479,-14872,5392,8888,-1600,-4823,1545
tail,0,1592196632529,-6940,6564,10552,-1616,-6149,-1072
tail,0,1592196632578,-10656,6904,10108,-1600,-1427,516
tail,0,1592196632627,-9748,7876,10396,-1568,-400,158
tail,0,1592196632690,-9660,7772,10188,-1584,-536,-189
tail,0,1592196632727,-10132,7232,9992,-1616,-28,-1207
tail,0,1592196632777,-5020,6868,12284,-1600,7169,-5016
tail,0,1592196632827,-22020,2072,7660,-1584,896,3235
tail,0,1592196632877,-10412,6516,9964,-1600,-4734,3338
tail,0,1592196632928,-7536,7188,10736,-1600,-3311,408
tail,0,1592196632977,-10064,7668,10308,-1584,-1192,191
tail,0,1592196633031,-10284,6916,10128,-1584,36,-565
tail,0,1592196633078,-10564,7264,10064,-1616,-444,-110
tail,0,1592196633127,-10508,7264,10200,-1600,-194,187
tail,0,1592196633180,-10580,7208,10260,-1600,-110,230
tail,0,1592196633227,-10100,7464,10192,-1584,-292,130
tail,0,1592196633278,-10540,7224,10184,-1584,-294,-110
tail,0,1592196633337,-10236,7372,10284,-1600,-328,-98
tail,0,1592196633377,-10168,7340,10220,-1616,-206,-141
tail,0,1592196633427,-10632,6924,9888,-1616,-611,158
tail,0,1592196633481,-10832,6940,10172,-1616,-390,175
tail,0,1592196633527,-10456,7112,10272,-1616,-461,35
tail,0,1592196633577,-10532,7060,10120,-1616,-297,-50
tail,0,1592196633632,-10612,7192,10180,-1600,-281,28
tail,0,1592196633676,-10828,6916,10040,-1600,-439,372
tail,0,1592196633759,-10524,7176,10040,-1600,-227,-9
tail,0,1592196633777,-10448,7184,10232,-1568,-463,494
tail,0,1592196633826,-10304,7200,10468,-1600,-434,530
tail,0,1592196633877,-10380,7152,10304,-1584,-528,241
tail,0,1592196633931,-11140,6812,10364,-1600,-726,475
tail,0,1592196633976,-10736,7436,10212,-1632,-674,272
tail,0,1592196634027,-10704,7220,10144,-1616,-705,480
tail,0,1592196634076,-12932,6552,9724,-1616,-2602,1763
tail,0,1592196634131,-9808,8192,9992,-1616,-3539,911
tail,0,1592196634177,-8496,8232,10304,-1632,-10473,-4328
tail,0,1592196634237,10032,12348,15988,-1632,710,-8768
tail,0,1592196634277,-15116,5620,9328,-1616,6989,5946
tail,0,1592196634327,-16316,6152,7796,-1584,417,1052
tail,0,1592196634376,-7952,9228,11236,-1600,-1421,1622
tail,0,1592196634427,-6080,9080,10972,-1616,-3669,87
tail,0,1592196634476,-7584,9420,10700,-1616,132,31
tail,0,1592196634528,-8768,9076,10720,-1600,-20,-271
tail,0,1592196634577,-5072,9712,10452,-1584,1093,-1489
tail,0,1592196634629,-9764,7916,10448,-1584,3162,-611
tail,0,1592196634679,-10816,7808,9888,-1616,411,376
tail,0,1592196634729,-15424,7460,9584,-1584,-3444,4667
tail,0,1592196634777,-2204,9808,10912,-1584,-5328,664
tail,0,1592196634827,-1940,10564,13240,-1584,-211,-3
tail,0,1592196634877,6880,8684,11288,-1600,9306,-5987
tail,0,1592196634927,-25156,3052,5080,-1600,3980,4609
tail,0,1592196634977,-14492,5812,9844,-1584,-412,4328
tail,0,1592196635027,-6960,7372,12368,-1616,-4251,1969
tail,0,1592196635077,-8668,8296,8748,-1600,-314,306
tail,0,1592196635130,-12664,7984,9124,-1616,-3782,907
tail,0,1592196635177,-7648,10232,8684,-1600,-1179,1695
tail,0,1592196635228,-10096,8884,9644,-1600,-3435,550
tail,0,1592196635290,-4784,10548,9932,-1600,1097,1081
tail,0,1592196635327,6516,6952,13744,-1616,15488,-1978
tail,0,1592196635377,-18968,3596,3932,-1648,16204,6719
tail,0,1592196635428,-17568,2592,4624,-1632,7461,2880
tail,0,1592196635509,-17852,5136,6496,-1584,-3536,1298
tail,0,1592196635532,-9616,7620,6980,-1600,-7649,-1176
tail,0,1592196635579,-8636,10472,8196,-1600,-7019,-1087
tail,0,1592196635628,-7028,11112,8616,-1616,-8009,-1549
tail,0,1592196635677,-5500,11860,8648,-1616,-2653,133
tail,0,1592196635726,-6580,12180,8716,-1584,-142,427
tail,0,1592196635823,-2792,12612,9376,-1616,1881,-1110
tail,0,1592196635827,-4796,7132,8732,-1616,18786,4571
tail,0,1592196635885,-18596,6084,3760,-1600,13953,4917
tail,0,1592196635928,-18752,4204,3928,-1600,5450,659
tail,0,1592196635977,-18732,5544,4372,-1584,-9820,-224
tail,0,1592196636031,-8496,9392,7272,-1632,-12553,-3469
tail,0,1592196636130,-7392,10540,7372,-1600,-6976,-1615
tail,0,1592196636131,-6448,12252,8052,-1584,-3074,-676
tail,0,1592196636502,-7532,11896,8192,-1632,-1022,714
tail,0,1592196636502,-6388,12664,7808,-1600,-1781,200
tail,0,1592196636503,-7680,11928,8524,-1616,-1200,1104
tail,0,1592196636503,-6944,12472,7684,-1600,-752,147
tail,0,1592196636503,-6412,12452,8524,-1584,-926,-155
tail,0,1592196636503,-6308,12400,8312,-1584,-1497,-144
tail,0,1592196636503,-6276,12752,8484,-1600,-2426,-581
tail,0,1592196636776,-5176,13132,8544,-1616,-2731,342
tail,0,1592196636780,-4028,12788,9456,-1600,-5896,1908
tail,0,1592196636781,-1872,13000,11096,-1584,-5596,5503
tail,0,1592196636781,-4948,13132,9012,-1584,-2701,10170
tail,0,1592196636781,-1392,12408,10640,-1616,-6153,7327
tail,0,1592196636784,-3456,12924,10084,-1584,-4087,11014
tail,0,1592196636844,-588,13084,8996,-1584,-3903,9366
tail,0,1592196636899,-304,13164,8872,-1600,-2312,2745
tail,0,1592196636948,4700,12368,10760,-1600,-3351,-1330
tail,0,1592196636992,7744,12104,11472,-1584,-1193,-3219
tail,0,1592196637042,10820,10524,9908,-1616,7117,642
tail,0,1592196637083,3584,-2552,11392,-1600,5870,5513
tail,0,1592196637134,-27072,11324,-668,-1568,-5934,-5531
tail,0,1592196637184,-13460,10796,8552,-1648,-9007,80
tail,0,1592196637234,3468,9836,11076,-1584,-9328,-2053
tail,0,1592196637284,10176,11236,12408,-1632,-704,930
tail,0,1592196637343,-4056,12996,11604,-1568,783,2082
tail,0,1592196637384,736,13720,8288,-1584,-2627,-862
tail,0,1592196637437,11612,13396,10784,-1632,-1874,-4661
tail,0,1592196637483,4056,12068,11216,-1616,-99,1336
tail,0,1592196637544,9536,12256,9840,-1568,-138,-2274
tail,0,1592196637600,18680,5780,9632,-1584,-2605,-4575
tail,0,1592196637646,-32768,10292,19372,-1616,-19,-5226
tail,0,1592196637686,-4444,14936,-368,-1568,-3707,2176
tail,0,1592196637738,6692,10364,12752,-1616,-5853,-1411
tail,0,1592196637788,10616,10520,12676,-1616,-1363,-1117
tail,0,1592196637834,1784,12056,10988,-1584,247,1778
tail,0,1592196637884,3868,13032,8584,-1568,-325,141
tail,0,1592196637950,3476,11520,12348,-1600,-1765,993
tail,0,1592196637984,4376,11768,11636,-1600,171,-175
tail,0,1592196638039,464,12240,11400,-1616,-1184,-636
tail,0,1592196638085,6440,11736,11260,-1584,-655,-1270
tail,0,1592196638135,13596,9240,9780,-1568,-531,-915
tail,0,1592196638185,-3548,7736,17112,-1600,-558,-10518
tail,0,1592196638243,-30576,5832,5996,-1600,16953,27475
tail,0,1592196638289,-9484,8124,8164,-1616,-8582,754
tail,0,1592196638335,10028,8756,10348,-1584,-8646,-5343
tail,0,1592196638385,4084,10244,14804,-1600,-4736,-1941
tail,0,1592196638435,6096,11888,11716,-1600,47,493
tail,0,1592196638484,-188,12604,9964,-1616,-1473,-923
tail,0,1592196638552,2708,11676,12232,-1616,-1248,-600
tail,0,1592196638584,1820,11500,12768,-1632,-842,-601
tail,0,1592196638634,1128,11808,11856,-1600,-633,-133
tail,0,1592196638685,3248,11696,11608,-1584,-1109,-746
tail,0,1592196638735,1612,11484,12152,-1616,-894,56
tail,0,1592196638785,4260,11580,11424,-1600,-571,-516
tail,0,1592196638836,2920,11392,12528,-1600,-153,166
tail,0,1592196638892,2584,11592,11464,-1600,-719,1163
tail,0,1592196638935,3396,11560,11344,-1616,183,-653
tail,0,1592196638985,-1616,10212,12536,-1600,-2111,-719
tail,0,1592196639035,7900,10536,10048,-1600,-3886,-3561
tail,0,1592196639086,10872,8988,12412,-1584,-4496,-3000
tail,0,1592196639134,9580,8512,13376,-1584,-1140,-1004
tail,0,1592196639187,4456,8848,12092,-1584,-557,2569
tail,0,1592196639282,8612,9184,11912,-1600,-5,-1684
tail,0,1592196639287,3652,8944,12184,-1616,-269,1959
tail,0,1592196639334,6972,9328,11840,-1616,739,59
tail,0,1592196639432,6940,9232,12308,-1632,-355,-29
tail,0,1592196639435,8304,9412,12120,-1600,-159,-69
tail,0,1592196639485,8844,9172,12004,-1584,-466,155
tail,0,1592196639536,8580,9416,12520,-1600,438,211
tail,0,1592196639584,25456,5432,13924,-1600,8094,2427
tail,0,1592196639634,-8612,6476,9464,-1616,6860,2111
tail,0,1592196639685,-29904,9404,13360,-1568,5341,6584
tail,0,1592196639735,-12568,13820,3716,-1584,-5195,4115
tail,0,1592196639796,-3384,8520,11576,-1584,-9431,-3877
tail,0,1592196639836,14356,7976,12876,-1584,-5769,-5056
tail,0,1592196639888,14624,8816,13140,-1600,-5507,-4046
tail,0,1592196639935,27552,6452,14420,-1616,2273,-1842
tail,0,1592196639985,-2396,-1556,6096,-1584,5033,7760
tail,0,1592196640034,-32768,9048,15920,-1616,346,514
tail,0,1592196640085,4632,13148,4192,-1600,1235,2018
tail,0,1592196640135,-4876,8336,14564,-1600,-12287,-5366
tail,0,1592196640186,21136,10508,11744,-1584,3693,-8761
tail,0,1592196640235,14172,11020,11828,-1584,-1076,-1755
tail,0,1592196640285,12504,7060,9696,-1600,-943,2041
tail,0,1592196640335,-22408,7068,16760,-1632,-6813,-11564
tail,0,1592196640387,-11896,10532,11200,-1616,4237,9218
tail,0,1592196640434,7104,9808,12456,-1616,3506,1007
tail,0,1592196640484,9292,9964,10624,-1600,-554,-2656
tail,0,1592196640535,23756,9592,11912,-1568,-1556,-6449
tail,0,1592196640584,1468,1944,7600,-1616,-1811,2761
tail,0,1592196640635,-23076,6584,20024,-1568,6228,3513
tail,0,1592196640684,2352,14264,3840,-1584,-24,2942
tail,0,1592196640734,488,8740,14596,-1584,-7634,-6110
tail,0,1592196640785,8660,10676,12008,-1632,-1108,-2518
tail,0,1592196640835,31672,8076,13080,-1600,-852,-7528
tail,0,1592196640885,-24672,-7332,14072,-1584,-3200,12326
tail,0,1592196640934,-5556,8256,7604,-1552,11149,11072
tail,0,1592196640986,-7120,10340,10104,-1600,-9175,-812
tail,0,1592196641035,672,10944,11096,-1584,-5220,137
tail,0,1592196641087,11760,11580,12076,-1616,-1808,-762
tail,0,1592196641135,23276,7420,10980,-1600,2159,-6087
tail,0,1592196641186,-24956,-5900,17792,-1584,7158,18679
tail,0,1592196641235,-9616,9068,-2676,-1616,-4452,1956
tail,0,1592196641285,1656,10736,11320,-1568,-3547,-782
tail,0,1592196641361,2392,10572,11768,-1600,-6454,-2398
tail,0,1592196641386,1916,12244,11716,-1568,-2359,1218
tail,0,1592196641435,18728,10036,11568,-1600,2942,-7131
tail,0,1592196641485,-12424,5456,11920,-1600,4525,585
tail,0,1592196641534,-17492,10336,6464,-1600,1800,6387
tail,0,1592196641585,-8284,12160,8928,-1584,-7445,2291
tail,0,1592196641637,4120,10744,10284,-1584,-7610,-2799
tail,0,1592196641685,1808,11312,13476,-1584,-3472,526
tail,0,1592196641735,11000,11392,12788,-1600,-1375,-3341
tail,0,1592196641785,16296,1852,8024,-1616,11419,3282
tail,0,1592196641835,-32768,2916,12252,-1616,6646,5990
tail,0,1592196641956,-9164,12880,5000,-1600,-527,5792
tail,0,1592196641956,-7364,10484,9068,-1568,-8741,-1972
tail,0,1592196641987,-2904,10764,10984,-1600,-8642,-1531
tail,0,1592196642039,1128,12248,11584,-1584,-2906,-207
tail,0,1592196642086,6696,11848,12664,-1584,712,-2454
tail,0,1592196642135,6684,8132,12280,-1600,5904,-4166
tail,0,1592196642185,-27252,7176,8412,-1600,10089,7773
tail,0,1592196642236,-9084,10844,8104,-1616,-1030,-960
tail,0,1592196642285,-19924,9128,8668,-1616,-6545,5360
tail,0,1592196642337,8704,10616,9904,-1600,-11440,-6984
tail,0,1592196642385,1260,9432,13584,-1600,-8178,-5013
tail,0,1592196642436,4736,11636,11900,-1568,-2318,-1281
tail,0,1592196642484,8412,11044,13300,-1616,183,-822
tail,0,1592196642544,5120,7000,10124,-1584,11397,4248
tail,0,1592196642586,-15408,6640,12748,-1600,9715,1468
tail,0,1592196642634,-16248,8104,7164,-1600,5092,1934
tail,0,1592196642684,-13032,8056,9144,-1584,536,2262
tail,0,1592196642737,-13096,8532,8640,-1616,-5117,3945
tail,0,1592196642820,-9568,7640,8360,-1584,-17005,-3373
tail,0,1592196642848,1092,9184,12404,-1584,-10672,-6829
tail,0,1592196642902,11984,9028,17452,-1600,-2236,-8075
tail,0,1592196642937,5312,10420,13896,-1584,-1079,-3379
tail,0,1592196643000,10416,11516,10612,-1584,-931,-1045
tail,0,1592196643046,16452,2948,10948,-1584,6342,-4502
tail,0,1592196643107,-23560,-3992,15708,-1568,8267,4351
tail,0,1592196643170,-21104,4424,1428,-1600,11655,14579
tail,0,1592196643208,-17376,4696,10620,-1616,-8188,-2490
tail,0,1592196643244,-14012,7748,8984,-1584,-12682,2894
tail,0,1592196643285,1424,9212,10984,-1616,-10234,-632
tail,0,1592196643352,3500,10280,11864,-1600,-5767,-2670
tail,0,1592196643425,6156,11140,13304,-1584,-2543,-1850
tail,0,1592196643440,22200,8404,11040,-1616,1327,-8018
tail,0,1592196643486,-12700,-5712,16040,-1584,6376,10990
tail,0,1592196643535,-30348,8424,-3476,-1616,5155,10540
tail,0,1592196643585,-9732,5992,13984,-1600,-9523,-6572
tail,0,1592196643635,-7716,11148,9344,-1616,-7014,3371
tail,0,1592196643685,4040,10000,12012,-1584,-5564,-1007
tail,0,1592196643745,3440,11380,11764,-1584,-1841,-109
tail,0,1592196643786,-3288,11544,12328,-1600,-2840,-913
tail,0,1592196643839,2352,12116,11104,-1600,-1138,-787
tail,0,1592196643890,-64,11656,12272,-1600,-694,-460
tail,0,1592196643934,452,11792,11704,-1568,-447,-800
tail,0,1592196643985,-1328,11636,12208,-1616,-764,493
tail,0,1592196644040,1592,11968,11336,-1584,-966,-574
tail,0,1592196644097,976,11620,12280,-1584,-499,-422
tail,0,1592196644170,1992,11600,11852,-1600,-182,-95
tail,0,1592196644189,-108,11740,11936,-1632,382,23
tail,0,1592196644236,1952,11560,11724,-1616,-687,-1311
tail,0,1592196644285,1200,10108,12060,-1584,2055,672
tail,0,1592196644335,-7936,10400,13288,-1584,4088,3207
tail,0,1592196644385,-4540,11904,9404,-1600,-824,-519
tail,0,1592196644435,-2496,11352,11996,-1568,-663,-883
tail,0,1592196644489,-3132,11376,11888,-1568,-161,116
tail,0,1592196644535,-4604,11352,11364,-1616,-404,-281
tail,0,1592196644585,-3524,11368,11248,-1584,-152,569
tail,0,1592196644634,-3784,11396,11300,-1616,-89,440
tail,0,1592196644688,-3924,11336,11480,-1616,-491,-82
tail,0,1592196644735,-3712,11612,11160,-1600,-393,174
tail,0,1592196644785,-4192,11340,11584,-1600,-519,129
tail,0,1592196644834,-3236,11540,11352,-1584,-534,25
tail,0,1592196644884,-3564,11508,11180,-1584,-665,-54
tail,0,1592196644935,-3404,11456,11716,-1584,-649,-165
tail,0,1592196644985,-4780,11144,11720,-1632,-1171,-780
tail,0,1592196645035,-3416,11204,12028,-1632,-659,-184
tail,0,1592196645085,-3856,11148,11824,-1600,-563,-332
tail,0,1592196645135,-3072,11520,11424,-1584,-462,-355
tail,0,1592196645185,-2696,11408,11880,-1616,-523,-367
tail,0,1592196645235,-2824,11416,11980,-1584,-295,375
tail,0,1592196645487,-3020,11500,11560,-1584,-719,137
tail,0,1592196645488,-3748,11336,11504,-1600,-383,201
tail,0,1592196645488,-2800,11448,11772,-1600,-451,-391
tail,0,1592196645488,-3348,11252,11620,-1584,-682,-541
tail,0,1592196645490,-3804,11124,11924,-1584,-265,374
tail,0,1592196645550,-3344,11348,11432,-1584,-429,-158
tail,0,1592196645590,-3364,11156,11556,-1568,-1353,-1392
tail,0,1592196645684,-3696,10940,12144,-1600,-1065,-1107
tail,0,1592196645686,-3792,10884,12092,-1568,-317,-112
tail,0,1592196645781,-3716,10948,11972,-1648,-216,256
tail,0,1592196645786,-3712,10972,11872,-1584,-316,63
tail,0,1592196645836,-4120,10716,12280,-1584,-156,377
tail,0,1592196645886,-3208,11100,11904,-1600,88,428
tail,0,1592196645936,-4012,10728,12080,-1600,43,827
tail,0,1592196645989,-5144,10952,12756,-1600,7020,7565
tail,0,1592196646037,-3776,12304,10104,-1584,-1209,2804
tail,0,1592196646089,-3176,12052,10280,-1584,1572,2279
tail,0,1592196646139,-2320,12244,10760,-1600,1267,652
tail,0,1592196646188,-4776,11468,12380,-1584,3762,2411
tail,0,1592196646239,-6336,12592,10588,-1568,3178,3364
tail,0,1592196646291,-5664,13648,8768,-1584,-166,2340
tail,0,1592196646346,-4004,11824,11780,-1584,-2317,-1973
tail,0,1592196646807,-452,12756,10796,-1600,-610,2054
tail,0,1592196646807,-344,13068,9828,-1600,1580,2736
tail,0,1592196646807,-1364,13660,8948,-1616,994,494
tail,0,1592196646807,-360,13456,9188,-1568,227,-901
tail,0,1592196646807,-1128,13520,9612,-1616,153,881
tail,0,1592196646807,-2072,13564,9160,-1552,837,-154
tail,0,1592196646807,-2092,13652,9416,-1600,-569,1048
tail,0,1592196646807,-2360,13120,11536,-1584,-699,346
tail,0,1592196646822,2348,13064,10576,-1552,2448,2418
tail,0,1592196646906,2660,13684,9432,-1616,4511,2566
tail,0,1592196646907,-972,14468,8040,-1584,3672,4031
tail,0,1592196646956,816,14480,8112,-1616,2935,1784
tail,0,1592196647004,-932,14488,7920,-1600,2384,3674
tail,0,1592196647051,4160,14104,8172,-1584,5174,2536
tail,0,1592196647098,768,14340,8464,-1584,5398,4800
tail,0,1592196647160,3064,14792,7848,-1584,4841,4344
tail,0,1592196647191,3536,15680,5140,-1600,4461,1679
tail,0,1592196647242,1748,15652,4376,-1600,4672,1480
tail,0,1592196647293,-112,16360,4024,-1584,1883,265
tail,0,1592196647343,1336,16288,4128,-1584,997,424
tail,0,1592196647390,1296,15652,5212,-1600,-294,-583
tail,0,1592196647453,2800,15392,6096,-1600,2415,1491
tail,0,1592196647490,820,15732,4480,-1584,3550,336
tail,0,1592196647542,-340,16072,3848,-1600,2901,1304
tail,0,1592196647592,1068,15888,4144,-1584,3053,1644
tail,0,1592196647642,-696,16464,2012,-1568,2410,2203
tail,0,1592196649009,1660,17400,740,-1584,-1469,-678
tail,0,1592196649009,204,16228,3516,-1584,-4350,-1599
tail,0,1592196649009,3044,15792,4284,-1600,-2235,-678
tail,0,1592196649009,2236,15824,4384,-1600,-749,-470
tail,0,1592196649009,996,16252,3532,-1600,-1649,-930
tail,0,1592196649009,-336,16264,3860,-1584,-4088,-2105
tail,0,1592196649009,3460,15148,6220,-1584,-2617,-1126
tail,0,1592196649009,3852,15616,4932,-1600,-857,-161
tail,0,1592196649133,-644,15160,5124,-1584,1223,-156
tail,0,1592196649137,-19872,5396,36,-1568,-19593,-6300
tail,0,1592196649162,4268,11660,5400,-1616,-11284,-2588
tail,0,1592196649184,13836,13736,7692,-1632,-246,181
tail,0,1592196649189,24508,1632,1136,-1600,6484,-7381
tail,0,1592196649240,-32768,7644,440,-1584,15583,12304
tail,0,1592196649305,-10140,6072,-324,-1584,-12208,-3053
tail,0,1592196649345,1456,10408,9344,-1616,-9895,-2979
tail,0,1592196649390,28304,12484,8640,-1584,3952,-6767
tail,0,1592196649458,-9508,-3152,5020,-1584,5867,1040
tail,0,1592196650861,-28168,9368,-8532,-1584,-695,-2010
tail,0,1592196650862,-2856,10036,452,-1600,-13156,-2860
tail,0,1592196650862,15748,12492,10720,-1568,-3210,-2119
tail,0,1592196650862,21784,9080,5664,-1584,6025,-10322
tail,0,1592196650862,-32768,5380,3656,-1600,10145,10840
tail,0,1592196650862,-25804,12108,-4064,-1600,-1324,5805
tail,0,1592196650862,-19192,9592,2084,-1600,-18876,177
tail,0,1592196650862,16408,11024,8568,-1616,-4640,-3255
tail,0,1592196650872,26532,10952,4468,-1616,3558,-9244
tail,0,1592196650888,5400,12468,9932,-1616,-6457,-2468
tail,0,1592196650937,18952,10900,7948,-1632,1832,407
tail,0,1592196650991,-17708,-1680,7364,-1568,5429,-2516
tail,0,1592196651041,-19608,5196,-620,-1552,11300,6579
tail,0,1592196651099,-18320,3368,6152,-1616,2168,-7859
tail,0,1592196651146,-10596,6688,6484,-1584,1501,-5213
tail,0,1592196651198,-13888,7536,5220,-1600,587,-5069
tail,0,1592196651250,-11320,6872,8780,-1600,280,-4235
