type,state,timeStamp,Ax,Ay,Az,Gx,Gy,Gz
tail,0,1592196538071,4984,-1192,16328,-1824,-552,270
tail,0,1592196538147,5252,-1236,16248,-1824,-351,145
tail,0,1592196538179,5080,-1164,16276,-1840,-845,330
tail,0,1592196538223,5064,-1340,16564,-1808,-368,-51
tail,0,1592196538260,5048,-1360,16428,-1808,-367,-101
tail,0,1592196538310,5216,-1060,15704,-1792,-853,-347
tail,0,1592196538359,5324,-1428,16364,-1824,-1770,-10
tail,0,1592196538411,5404,-1256,15908,-1824,-1458,294
tail,0,1592196538460,4808,-1796,16616,-1824,-7023,-476
tail,0,1592196538515,4916,-2228,16000,-1824,-5569,258
tail,0,1592196538567,5352,-3056,15924,-1872,-11732,-339
tail,0,1592196538610,4940,-4536,16568,-1808,-4005,-853
tail,0,1592196538661,5396,-3536,15012,-1808,-1991,-1075
tail,0,1592196538729,5532,-5048,16704,-1856,-73,-2742
tail,0,1592196538761,5968,-3124,14092,-1824,-3523,-3513
tail,0,1592196538813,6900,-4524,15296,-1824,-5433,-2692
tail,0,1592196538860,6956,-4632,15104,-1824,-1086,-2026
tail,0,1592196538910,7088,-5016,15104,-1840,-832,-1740
tail,0,1592196538960,7708,-4736,14692,-1808,154,-440
tail,0,1592196539012,7092,-4668,14568,-1808,-672,-120
tail,0,1592196539061,7552,-4760,15072,-1808,-557,-1197
tail,0,1592196539127,7500,-4928,14800,-1856,-387,-366
tail,0,1592196539192,7868,-4572,14444,-1824,261,82
tail,0,1592196539222,7432,-4624,14428,-1824,-931,448
tail,0,1592196539259,7164,-4928,14836,-1840,-831,598
tail,0,1592196539313,7240,-4984,14764,-1808,-334,66
tail,0,1592196539359,7268,-4952,14984,-1840,120,-355
tail,0,1592196539409,7540,-4652,14752,-1808,-284,-661
tail,0,1592196539459,7796,-4640,14356,-1808,-751,-396
tail,0,1592196539515,7740,-5072,14984,-1792,101,-188
tail,0,1592196539596,7732,-4476,14280,-1824,261,-75
tail,0,1592196539618,7548,-4808,14796,-1792,312,201
tail,0,1592196539659,7516,-4824,14900,-1808,107,-157
tail,0,1592196539710,7404,-4480,14604,-1808,357,-503
tail,0,1592196539761,7788,-4380,14524,-1840,677,-198
tail,0,1592196539809,7700,-4452,14532,-1808,-131,-163
tail,0,1592196539875,7936,-4580,14608,-1808,147,-446
tail,0,1592196539909,7704,-4416,14788,-1792,234,-426
tail,0,1592196539969,7880,-4340,14640,-1792,-110,-190
tail,0,1592196540009,7620,-4384,14752,-1792,-15,-68
tail,0,1592196540059,7748,-4188,14664,-1856,-460,-202
tail,0,1592196540109,7576,-4256,14440,-1840,488,-364
tail,0,1592196540159,7960,-4240,14520,-1776,45,-134
tail,0,1592196540209,7892,-4308,14824,-1808,-242,-11
tail,0,1592196540259,7876,-4376,14612,-1808,-389,-95
tail,0,1592196540309,7828,-4216,14724,-1808,-199,85
tail,0,1592196540363,7808,-4108,14592,-1792,-169,155
tail,0,1592196540409,7900,-4192,14496,-1808,-465,161
tail,0,1592196540467,7852,-4108,14560,-1856,-506,74
tail,0,1592196540510,7720,-4116,14612,-1856,-290,49
tail,0,1592196540562,7816,-4212,14572,-1824,-253,-35
tail,0,1592196540609,7868,-4188,14440,-1840,-362,3
tail,0,1592196540659,7840,-4268,14648,-1840,-194,-45
tail,0,1592196540711,7864,-4140,14624,-1840,-352,-59
tail,0,1592196540759,7992,-4288,14492,-1776,-108,-10
tail,0,1592196540813,7768,-4456,14584,-1808,-343,150
tail,0,1592196540875,7644,-4208,14752,-1824,-350,141
tail,0,1592196540909,7848,-4220,14680,-1792,-266,53
tail,0,1592196540962,7896,-4064,14700,-1824,-414,37
tail,0,1592196541009,7868,-4224,14756,-1824,-290,47
tail,0,1592196541059,7908,-4224,14480,-1824,-490,10
tail,0,1592196541115,7844,-4308,14768,-1808,-726,124
tail,0,1592196541165,7632,-4420,14832,-1808,-287,-314
tail,0,1592196541210,7520,-4060,14560,-1808,-546,-1607
tail,0,1592196541268,7940,-4152,14432,-1808,-7,-1233
tail,0,1592196541310,7908,-4376,14852,-1824,-244,-1468
tail,0,1592196541360,8340,-4024,14476,-1792,-257,-3013
tail,0,1592196541418,8192,-4124,14520,-1840,1834,-4566
tail,0,1592196541478,9604,-3448,14060,-1808,2483,-5905
tail,0,1592196541519,10140,-3020,13552,-1840,1894,-5212
tail,0,1592196541560,10844,-2536,13236,-1808,431,-5685
tail,0,1592196541610,11248,-2240,12704,-1824,337,-5874
tail,0,1592196541659,11840,-1904,12164,-1792,1713,-3793
tail,0,1592196541710,11748,-1756,12044,-1840,1940,-4362
tail,0,1592196541759,12552,-1464,11904,-1840,95,-2501
tail,0,1592196541816,11968,-1736,12484,-1840,1827,-1800
tail,0,1592196541878,12500,-908,11192,-1840,2526,-2428
tail,0,1592196541909,12940,-1004,11484,-1824,387,-2169
tail,0,1592196542032,12700,-792,11264,-1792,174,-1872
tail,0,1592196542032,12564,-892,11552,-1808,137,-2285
tail,0,1592196542093,13232,-648,10948,-1808,261,-1681
